ID;Key
1;roma
2;tibur
3;lavinium
4;circeii
5;fundi
6;capua
7;neapolis
8;saticula
9;pompeii
10;salerna
11;paestum
12;velia
13;blanda
14;pyrgi
15;ostia
16;veii
17;tarquini
18;nepete
19;carsioli
20;cures
21;visentium
22;volci
23;narnia
24;peltuinum
25;norba_0
26;fregellae
27;fucens
28;corfinium
29;histonium
30;aufidena
31;venafrum
32;bovianum
33;corneliani
34;iuvanum
35;buca
36;teanum_apulum
37;luceria
38;sipontum
39;canusium
40;nola
41;beneventum
42;venusia
43;compsa
44;tuticum
45;ausculum
46;potentia
47;acerronia
48;terventum
49;gerumum
50;urium
51;laus
52;thurii
53;grumentum
54;heraclea
55;metapontum
56;tarentum
57;brundisium
58;barduli
59;consilinum
60;bantia
61;siris
62;menturia
63;callipolis
64;hydruntum
65;lupiae
66;barium
67;gnatia
68;turum
69;natiolum
70;silvium
71;hostiliusanus
72;rhegium
73;locri_0
74;stylacium
75;hipponium
76;temesa
77;consentia
78;croton
79;petelia
80;messana
81;tauromenium
82;catana
83;leontini
84;syracusae
85;gela
86;acragas
87;acrae
88;murgantia
89;henna
90;hippana
91;heraclea_minoa
92;egesta
93;selinus
94;lilybaeum
95;eryx
96;panorumus
97;thermai
98;cephaloedium
99;tyndaris
100;calacte
101;camarina
102;tuder
103;plestia
104;amiternum
105;trebula
106;aternum
107;interamnia
108;matrinum
109;asculum
110;septempeda
111;picenum
112;telamon
113;aurinia
114;vetulonia
115;rusellae
116;clusium
117;ancona
118;cingulum
119;sentinum
120;perusia
121;sena_gallica
122;urbinum
123;iguvium
124;cortona
125;ad_novas
126;populonia
127;ilva
128;vada_volaterrana
129;volaterrae
130;sena_iulia
131;arretium
132;sarsina
133;ariminum
134;florentia_0
135;valvata
136;pisae
137;luna
138;luca
139;pistoriae
140;faesulae
141;portus_veneris
142;ravenna
143;brundulum
144;spina
145;corniculani
146;bononia
147;faventia
148;forum_popilii
149;mutina
150;vicus_aventia
151;regium_lepidum
152;parma
153;forum_novum
154;rubra
155;kiskisos
156;myra
157;ouarsapa
158;ablastha
159;choma
160;arykanda
161;limyra
162;olympos
163;osdara
164;phaselis
165;olbia_pamphylias
166;perge
167;pednelissos
168;aspendos
169;laranda
170;termessos
171;isinda
172;komana_hierapolis
173;koropassos
174;kongoustos
175;germa
176;ekdaoumaoua
177;kindyria
178;tyriaion
179;okenoi
180;keissia
181;tolastochora
182;aurokra
183;abbasion
184;dokimeion
185;ipsos
186;eukarpia
187;kidyessos
188;pessinous
189;gordion
190;kinna
191;ouetissos
192;kyballon
193;gorbeous
194;ankyra
195;malos
196;klossama
197;sarmalios
198;gangra
199;kandara
200;kimiata
201;zoaka
202;doudousa
203;asklepios
204;aspona
205;zeila
206;kytoros
207;herakleia_pontike
208;sesamos
209;tieion
210;dadybra
211;ziporeia
212;parthenia
213;kimista
214;timonion
215;krateia
216;zeita
217;tobata
218;kallydion
219;salon
220;oinoe_ikarias
221;peion
222;bloukion
223;legna
224;gordioukome
225;lagania
226;mnezos
227;trokna
228;androna_0
229;orbana
230;thymbrion
231;arinna
232;bonita
233;kieros
234;kalpe
235;tomisa
236;tarsos_bithynias
237;embolos
238;diospolis_0
239;artanes
240;chalcedon
241;rhebas
242;libyssa
243;astakos
244;nicaea
245;kios
246;strobilos
247;pythopolis
248;myrleia
249;apollonia_rhyndakos
250;helge
251;miletopolis
252;kyzikos
253;daskyleion
254;zeleia
255;parium
256;lampsakos
257;ilion
258;polymedion
259;assos
260;kebren
261;abydos
262;kolonai
263;naxos
264;baris_mysias
265;argiza
266;rhodos
267;kale_peuke
268;skepsis
269;pericharaxis
270;lemnos
271;attea
272;hiera_germe
273;inde
274;thyateira
275;iasos
276;apollonia_mysias
277;skyros
278;pergamon
279;elaea
280;poseidion
281;adramyttion
282;atarna
283;mytilene
284;eresos
285;kyme
286;chios
287;smyrna
288;tecybeleneos
289;erythrai
290;ephesos
291;colophon
292;sardis
293;myloukome
294;larisa_ionias
295;hypaipa
296;magnesia
297;imbros
298;aigai
299;maiboza
300;maionia
301;silandos
302;kadoi
303;synaos
304;hyssa
305;hyrkanis
306;ankyra_sidera
307;bageis
308;blaoundos
309;akmoneia
310;leros
311;pepouza
312;appia
313;metropolis_phrygias
314;nakoleia
315;dorylaion
316;midaion
317;kotiaeion
318;meiros
319;aizanoi
320;ariste
321;kybellion
322;lamounia
323;sarkotyle
324;otroia
325;kabia
326;modra
327;oka
328;orkistos
329;dableis
330;karpasia
331;salamis_kyprias
332;kition
333;soloi_0
334;paphos
335;kyrenia
336;tamassos
337;pioniai
338;amathous
339;elouza
340;turgalium
341;philia
342;salmydessos
343;aulaiouteichos
344;praesos
345;selymbria
346;perinthos
347;bisanthe
348;bergoule
349;sestos
350;lysimacheia
351;rhithymna
352;ornoi
353;kypsela
354;ainos
355;ierapetra
356;thasos
