380	SEL	Seleucids
304	MRY	Maurya
291	PRY	Antigonids
189	EGY	Egypt
134	ARM	Armenia
112	CAR	Carthage
99	BAC	Bactria
66	MAP	Atropatene
54	KSH	Kush
53	MAC	Macedon
52	CAP	Cappadocia
47	MSS	Massaesylia
44	MSY	Massylia
42	ARS	Arachosia
41	IBR	Iberia
40	ZHZ	Zhangzhung
35	PAR	Parthia
31	ASM	Ashmaka
31	TUR	Turdetania
30	GTE	Getia
29	PAP	Paphlagonia
29	PON	Pontus
28	ALB	Albania
28	ETR	Etruria
27	SCA	Sakia
26	ANH	Andhra
26	CYR	Cyrenaica
26	PRN	Parnia
26	TRE	Thrace
25	CHL	Chola
25	NBT	Nabatea
24	LHY	Lihyan
23	LGA	Legia
23	ROM	Rome
22	COL	Colchis
22	MAK	Maka
22	PLD	Palada
22	SMP	Sumpa
21	KUN	Kuntala
21	SCY	Scythia
21	SRM	Sarmatia
20	JUD	Judea
20	KAL	Kalinga
20	KRP	Kamarupa
20	TVI	Treveria
19	PND	Pandya
19	TBL	Triballia
19	YDD	Yaudheya
18	ATV	Atavia
18	MIN	Ma'in
18	MOE	Moesia
18	NBP	Nabhapakti
18	TSA	Tsang
17	EVS	Eraviscia
17	KRZ	Kharesmia
17	LMV	Lemovicia
17	MAU	Mauretania
17	MSL	Musulamia
17	ODR	Odrysia
17	OTN	Cotinia
17	THD	Thamud
17	ZNT	Zanthia
16	BPK	Bospora
16	BRI	Brigantia
16	IOA	Aeolia
16	KLS	Khasa
16	PCS	Pictonia
16	PIT	Pitinika
16	QTB	Qataba
16	SMT	Samatata
15	BGT	Biturigia
15	BOA	Boihaemia
15	DRD	Dardania
15	INS	Insubria
15	LTB	Latobicia
15	LTG	Latobrigia
15	TAT	Tartessia
15	TYG	Tyrgetae
14	CHR	Chera
14	COI	Coritania
14	HDM	Hadhramut
14	HMJ	Himjar
14	HYA	Mahisamandala
14	KRA	Karusa
14	RTI	Rathika
14	SCD	Scordiscia
14	VNT	Veneto
13	AVN	Arvernia
13	DOB	Dobunnia
13	DOD	Dodekaschoinos
13	MNP	Menapia
13	SMN	Semnonia
13	TDL	Turdulia
13	YRL	Yarlung
12	AED	Aeduia
12	ALU	Alupa
12	ANU	Anuradhapura
12	AUT	Alut
12	COM	Commagene
12	ORT	Oretania
12	TSC	Tauriscia
11	ADI	Adiabene
11	BOJ	Bhoja
11	CLC	Celticia
11	CNT	Contestani
11	DEL	Nesio
11	GRH	Gerrha
11	ION	Ionia
11	LNG	Lingonia
11	PHY	Phrynia
11	SAM	Samnium
11	SHB	Saba
11	SYR	Syracusae
11	TAU	Taurinia
11	VCI	Vaccaeia
11	VSC	Vasconia
10	APP	Appulia
10	BOR	Boras
10	BST	Bastarnia
10	BUD	Buridavensia
10	CAA	Cataria
10	CRN	Carnutia
10	DLM	Delmatia
10	MSH	Mahisha
10	POT	Potulatensia
10	RAE	Raetia
10	SLD	Saldensia
10	SNN	Senonia
10	SNT	Santonia
10	TRP	Tripolitania
10	VOC	Vocontia
10	VRI	Varinia
9	ALL	Allobrogia
9	BAI	Bastetania
9	BOI	Boi
9	DUI	Deuria
9	EBI	Eburania
9	EMP	Emporia
9	ILG	Ilergetia
9	KSR	Kosar
9	LCA	Lucania
9	LGN	Lingonia
9	LYC	Lycia
9	NTB	Nitiobrogia
9	SCE	Siracia
9	SOG	Sogdia
9	SQI	Sequania
9	TRO	Turonia
8	ADG	Adagaiman
8	ADT	Aduatucia
8	AVC	Arevacia
8	BDL	Bardulia
8	BLT	Bletonisia
8	BMY	Blemmia
8	DND	Dindaria
8	DUM	Dumnonia
8	DUR	Durotriga
8	GHA	Gandhara
8	ICE	Icenia
8	ICV	Ilercavonia
8	IDK	Indiketia
8	KHB	Khamboja
8	KRN	Carnia
8	MAE	Maeotia
8	MRN	Morinia
8	NBA	Nabhaka
8	NMI	Nemetia
8	NRV	Nervia
8	OSM	Osismia
8	PSS	Pissuria
8	RHO	Rhodes
8	SWE	Suionia
8	TAY	Tayuan
8	TBC	Triboccia
8	TDT	Oppidania
8	UMB	Umbria
8	VNL	Venellia
7	ABN	Albocensia
7	ATH	Athens
7	AXM	Aksum
7	BOL	Boletia
7	CNM	Cenomannia
7	COV	Cornovia
7	EBV	Eburovicia
7	EPI	Epirus
7	GIT	Guthonia
7	HRE	Herulia
7	IDR	Indravana
7	LBN	Libernia
7	LGB	Langobardia
7	LGI	Lugia
7	LPO	Lepontia
7	NMN	Namnetia
7	PRA	Paurava
7	PTC	Petrocoria
7	RMI	Remia
7	SFI	Sefia
7	SLS	Salassia
7	SMA	Samaria
7	TCT	Tectosagia
7	TLN	Taulantia
7	TLT	Tilataeia
7	TRI	Trinovantia
7	VAD	Vardulia
7	WUS	Wusun
6	ADC	Andecamulensia
6	AES	Galindia
6	ANS	Ansamensia
6	AUI	Ausetania
6	AVL	Avalitia
6	BLL	Bellia
6	CAT	Cantiacia
6	CMB	Cimbria
6	CMS	Cempsia
6	CNU	Cynetia
6	CRE	Coerensia
6	CSS	Cessetania
6	CTN	Catenatia
6	DEI	Deitania
6	DIT	Iapodia
6	DNN	Damnonia
6	DNT	Ditionia
6	EBS	Eburonia
6	EDT	Edetania
6	HCN	Ercuniatia
6	LAL	Lalasia
6	LCI	Leucia
6	MDM	Mediomatricia
6	MYD	Mariandynia
6	NRC	Noricia
6	OLC	Olcadia
6	ORD	Ordovicia
6	PRS	Parisia
6	RAM	Raumaricia
6	RHN	Ruhunu
6	RUT	Rutenia
6	SCI	Sciria
6	SPA	Sparta
6	STY	Satiyaputa
6	TRC	Tricassia
6	VCL	Veliocassia
6	VND	Venedia
6	VTD	Votadinia
5	AET	Aetolia
